Name,Capital,Population,Area (km²)
Sri Lanka,Colombo,0.644156856249597,0.07193684556767721
Liberia,Monrovia,0.11033597074279758,0.12210953346855984
Lesotho,Maseru,0.05747388474790712,0.03328216654788663
Lithuania,Vilnius,0.08816093401530037,0.07148730880982401
Luxembourg,Luxembourg,0.014896935154506996,0.0028353708678252286
Latvia,Riga,0.06640887805093627,0.0708173893975111
Morocco,Rabat,0.9469663503487953,0.4896113151691245
Monaco,Monaco,0.0009870149965798053,2.13804067759443e-06
Moldova,Chişinău,0.12946618671958374,0.037106518282988867
Montenegro,Podgorica,0.019962763800080496,0.015378542843045885
Saint Martin,Marigot,0.0010756412483582437,5.811084918589989e-05
Madagascar,Antananarivo,0.6372061029234627,0.6436489227564278
Marshall Islands,Majuro,0.001971904160768979,0.00019878296146044625
Macedonia,Skopje,0.06174776597471721,0.027775889479743434
Macao,Macao,0.013449572650801012,0.00027849350364563344
Northern Mariana Islands,Saipan,0.0016133271366816212,0.0005229976426730991
Martinique,Fort-de-France,0.012961589322596624,0.0012060742283866016
Montserrat,Plymouth,0.0002796816952237816,0.00011183597390493942
Malta,Valletta,0.01206634441442929,0.00034647223288196915
Mauritius,Port Louis,0.038747157747123076,0.0022367194780987883
Maldives,Malé,0.011846275850047017,0.00032892933501452767
Malawi,Lilongwe,0.46251825146872566,0.12990515870840413
Malaysia,Kuala Lumpur,0.8465821795003767,0.3615481607368017
Mozambique,Maputo,0.6605485509877307,0.8788882188476509
Namibia,Windhoek,0.06372919146929211,0.9050139794967381
New Caledonia,Noumea,0.006482112078554478,0.02089797708458966
Norfolk Island,Kingston,5.4732698733441045e-05,3.79365166383422e-05
Nicaragua,Managua,0.17952588668019895,0.14198125102790415
Netherlands,Amsterdam,0.49837295974733375,0.045530398552710925
Norway,Oslo,0.14998046928917735,0.35548489666136723
Nepal,Kathmandu,0.8668561232446239,0.154377501233485
Nauru,Yaren,0.00030135919734796724,2.302505345101694e-05
Niue,Alofi,6.485285856489787e-05,0.00028507209034592403
New Zealand,Wellington,0.12731870676812937,0.294589112439011
Oman,Muscat,0.0888573088003892,0.2329477550572885
Panama,Panama City,0.10212007767252612,0.08574091332712022
French Polynesia,Papeete,0.008098672875773961,0.00456882846335179
Papua New Guinea,Port Moresby,0.18157947071085023,0.5074721780604133
Saint Pierre and Miquelon,Saint-Pierre,0.00020994840455081432,0.00026533633024505236
Pitcairn Islands,Adamstown,1.377299858718976e-06,5.153226248560934e-05
Puerto Rico,San Juan,0.1172690587011787,0.0099819088865742
Palestine,Unknown,0.113776944850698,0.006545693766789101
Portugal,Lisbon,0.3196533324279084,0.1013003673044241
Palau,Melekeok,0.000596041484511275,0.0005021654514555122
Paraguay,Asunción,0.19090064691774367,0.4459733567238638
Qatar,Doha,0.025178418717241597,0.01253988268187051
Réunion,Saint-Denis,0.023262834144173714,0.0027597171207718874
Romania,Bucharest,0.6574893584124069,0.2604023902198344
Serbia,Belgrade,0.21991427685679335,0.09688174990406227
Rwanda,Kigali,0.33103030832174757,0.028877802752042103
Solomon Islands,Honiara,0.016743115791215953,0.031193465270544375
Seychelles,Victoria,0.002645014554765964,0.000498876158105367
Sweden,Stockholm,0.29428272049777293,0.4933545310015898
Singapore,Singapore,0.14075612325061213,0.0007594978345485445
Saint Helena,Jamestown,0.0002233621075226861,0.00044953675785318787
Slovenia,Ljubljana,0.06009219166193445,0.022227948029165067
Svalbard and Jan Mayen,Longyearbyen,7.635031825507366e-05,0.06803245436105476
Slovakia,Bratislava,0.16332979846330464,0.053555177895948686
Sierra Leone,Freetown,0.15706293439962693,0.07865796831314072
San Marino,San Marino,0.000942462340280374,6.710158434296366e-05
Senegal,Dakar,0.36897420083822474,0.21510882078833396
Somalia,Mogadishu,0.302780001917441,0.6991469765911956
Suriname,Paramaribo,0.01475594156679596,0.17901430842607313
South Sudan,Juba,0.24732981978151117,0.7064623650019187
São Tomé and Príncipe,São Tomé,0.00526392029481882,0.0010975275478318073
El Salvador,San Salvador,0.18120667156865652,0.023068910695685542
Sint Maarten,Philipsburg,0.0011206729654780988,2.302505345101694e-05
Syria,Damascus,0.6646402992788758,0.20303711419330078
Swaziland,Mbabane,0.04054204893474539,0.01903733347952415
Turks and Caicos Islands,Cockburn Town,0.0006154733890397232,0.0004714653801874897
French Southern Territories,Port-aux-Français,4.191782178709927e-06,0.008583959212762457
Togo,Lomé,0.19723050747930712,0.06226084096266652
Tajikistan,Dushanbe,0.2241851639534758,0.1568992928019297
Tokelau,Unknown,4.389394767134823e-05,1.0964311167150923e-05
East Timor,Dili,0.034570974986378206,0.01645414176854339
Turkmenistan,Ashgabat,0.14793745453787668,0.5351680280686366
Tunisia,Tunis,0.31704918774938484,0.17938709500575625
Tonga,Nuku'alofa,0.003670204710473306,0.000820130475302889
Trinidad and Tobago,Port of Spain,0.03678860740672342,0.005622498766514993
Tuvalu,Funafuti,0.0003135453069675025,2.85072090345924e-05
Taiwan,Taipei,0.6854876488838691,0.03944959157940902
Uganda,Kampala,1.0,0.2588016007894304
U.S. Minor Outlying Islands,Unknown,0.0,0.0
Uruguay,Montevideo,0.10410590453838868,0.19321309138753356
Uzbekistan,Tashkent,0.83433645675,0.4905432816183323
Vatican City,Vatican City,2.757593847565602e-05,4.824296913546406e-07
Saint Vincent and the Grenadines,Kingstown,0.003120392595132946,0.0004265117044021709
Venezuela,Caracas,0.8150988712668363,1.0
British Virgin Islands,Road Town,0.0006506244767383336,0.00016775396085740913
U.S. Virgin Islands,Charlotte Amalie,0.003254858979165705,0.0003859437530837125
Vanuatu,Port Vila,0.006633555180411012,0.013376459623924126
Wallis and Futuna,Mata-Utu,0.00047980935295590413,0.0003004221259799353
Samoa,Apia,0.005748759786389176,0.003227893207609232
Kosovo,Pristina,0.05389434229769906,0.011959870621128228
Yemen,Sanaa,0.703481682301116,0.5788827366920672
Mayotte,Mamoudzou,0.004761924437617029,0.0004100652376514445
Zambia,Lusaka,0.4030190472785723,0.8251894084754124
Zimbabwe,Harare,0.3488717908089906,0.42824406556658073
